Date,AUDQT,AUD,BGNQT,BGN,CADQT,CAD,CHFQT,CHF,CNYQT,CNY,CZKQT,CZK,DKKQT,DKK,EURQT,EUR,GBPQT,GBP,IRRQT,IRR,ISKQT,ISK,JPYQT,JPY,KGSQT,KGS,KWDQT,KWD,KZTQT,KZT,MDLQT,MDL,NOKQT,NOK,NZDQT,NZD,PLNQT,PLN,RUBQT,RUB,SEKQT,SEK,SGDQT,SGD,TRYQT,TRY,UAHQT,UAH,USDQT,USD,XDRQT,XDR
1/1/17,1, 1.4132,1, 1.0479,1, 1.4492,1, 1.9112,10, 2.8162,100, 7.5859,10, 2.7570,1, 2.0450,1, 2.4014,"100,000", 6.0492,100, 1.7109,100, 1.6822,100, 2.8214,1, 6.3972,"1,000", 5.8728,10, 0.9852,10, 2.2547,1, 1.3626,10, 4.6477,100, 3.2440,10, 2.1414,1, 1.3516,10, 5.5455,100, 7.2004,1, 1.9585,1, 2.6196
1/2/17,1, 1.4132,1, 1.0479,1, 1.4492,1, 1.9112,10, 2.8162,100, 7.5859,10, 2.7570,1, 2.0450,1, 2.4014,"100,000", 6.0492,100, 1.7109,100, 1.6822,100, 2.8214,1, 6.3972,"1,000", 5.8728,10, 0.9852,10, 2.2547,1, 1.3626,10, 4.6477,100, 3.2440,10, 2.1414,1, 1.3516,10, 5.5455,100, 7.2004,1, 1.9585,1, 2.6196
1/3/17,1, 1.4132,1, 1.0479,1, 1.4492,1, 1.9112,10, 2.8162,100, 7.5859,10, 2.7570,1, 2.0450,1, 2.4014,"100,000", 6.0492,100, 1.7109,100, 1.6822,100, 2.8214,1, 6.3972,"1,000", 5.8728,10, 0.9852,10, 2.2547,1, 1.3626,10, 4.6477,100, 3.2440,10, 2.1414,1, 1.3516,10, 5.5455,100, 7.2004,1, 1.9585,1, 2.6196
1/4/17,1, 1.4183,1, 1.0480,1, 1.4653,1, 1.9159,10, 2.8264,100, 7.5865,10, 2.7572,1, 2.0545,1, 2.4118,"100,000", 6.0746,100, 1.7218,100, 1.6656,100, 2.8407,1, 6.4201,"1,000", 5.8972,10, 0.9784,10, 2.2726,1, 1.3650,10, 4.6600,100, 3.2142,10, 2.1479,1, 1.3567,10, 5.5071,100, 7.2568,1, 1.9666,1, 2.6438
1/5/17,1, 1.4337,1, 1.0517,1, 1.4739,1, 1.9231,10, 2.8382,100, 7.6159,10, 2.7684,1, 2.0534,1, 2.4186,"100,000", 6.0873,100, 1.7334,100, 1.6761,100, 2.8466,1, 6.4358,"1,000", 5.8970,10, 0.9844,10, 2.2839,1, 1.3688,10, 4.6886,100, 3.2297,10, 2.1582,1, 1.3641,10, 5.5047,100, 7.3397,1, 1.9707,1, 2.6340
1/6/17,1, 1.4324,1, 1.0557,1, 1.4768,1, 1.9270,10, 2.8541,100, 7.6370,10, 2.7775,1, 2.0716,1, 2.4185,"100,000", 6.0712,100, 1.7380,100, 1.6849,100, 2.8388,1, 6.4230,"1,000", 5.9056,10, 0.9736,10, 2.2890,1, 1.3695,10, 4.7166,100, 3.2633,10, 2.1655,1, 1.3689,10, 5.4546,100, 7.4797,1, 1.9653,1, 2.6336
1/7/17,1, 1.4352,1, 1.0595,1, 1.4748,1, 1.9339,10, 2.8209,100, 7.6687,10, 2.7872,1, 2.0676,1, 2.4206,"100,000", 6.0356,100, 1.7283,100, 1.6857,100, 2.8222,1, 6.3937,"1,000", 5.8992,10, 0.9711,10, 2.3004,1, 1.3724,10, 4.7496,100, 3.2769,10, 2.1673,1, 1.3639,10, 5.4013,100, 7.2430,1, 1.9538,1, 2.6277
1/8/17,1, 1.4352,1, 1.0595,1, 1.4748,1, 1.9339,10, 2.8209,100, 7.6687,10, 2.7872,1, 2.0676,1, 2.4206,"100,000", 6.0356,100, 1.7283,100, 1.6857,100, 2.8222,1, 6.3937,"1,000", 5.8992,10, 0.9711,10, 2.3004,1, 1.3724,10, 4.7496,100, 3.2769,10, 2.1673,1, 1.3639,10, 5.4013,100, 7.2430,1, 1.9538,1, 2.6277
1/9/17,1, 1.4352,1, 1.0595,1, 1.4748,1, 1.9339,10, 2.8209,100, 7.6687,10, 2.7872,1, 2.0676,1, 2.4206,"100,000", 6.0356,100, 1.7283,100, 1.6857,100, 2.8222,1, 6.3937,"1,000", 5.8992,10, 0.9711,10, 2.3004,1, 1.3724,10, 4.7496,100, 3.2769,10, 2.1673,1, 1.3639,10, 5.4013,100, 7.2430,1, 1.9538,1, 2.6277
1/10/17,1, 1.4355,1, 1.0560,1, 1.4802,1, 1.9254,10, 2.8259,100, 7.6428,10, 2.7777,1, 2.0650,1, 2.3815,"100,000", 6.0539,100, 1.7246,100, 1.6749,100, 2.8314,1, 6.4049,"1,000", 5.9076,10, 0.9755,10, 2.2920,1, 1.3666,10, 4.7248,100, 3.2723,10, 2.1589,1, 1.3602,10, 5.2895,100, 7.2649,1, 1.9597,1, 2.6449
